Channel_Name,Title,Published_Date,Views,Like_Count,Comment_Count,Video_Duration,Watch_Time_Minutes,Avg_View_Duration,CTR (%),Subscribers_Gained,Category,Traffic_Source,Revenue_Earned,
TechNow,AI Tools for Students,01-07-24,120000,4500,390,8:45,52000,3:15,5.2,320,Education,Suggested,$75 ,
LearnWithMe,Canva Tutorial 2024,04-07-24,85500,3600,310,6:00,40200,2:50,4.5,215,Design,External,$61 ,
CodeFlare,JavaScript ES6 Explained,07-07-24,105000,4900,420,9:00,58000,3:48,5.7,305,Programming,Suggested,$81 ,
DevWorld,HTML Basics,10-07-24,64000,2100,190,5:30,28000,2:20,3.9,150,Web Dev,Search,$39 ,
StudyHub,Math Tips for Exams,13-07-24,72000,2700,220,6:15,31000,2:35,4.2,180,Education,Search,$44 ,
TechNow,Python Basics for Beginners,16-07-24,98000,5100,460,10:30,60000,4:20,6.1,280,Programming,Search,$92 ,
LearnWithMe,SEO Crash Course,19-07-24,73000,2950,270,7:20,33000,2:42,4.9,190,Marketing,Search,$49 ,
CodeFlare,ReactJS Crash Course,22-07-24,110000,5200,500,12:00,65000,4:50,6.5,350,Programming,Suggested,$99 ,
DevWorld,CSS Grid Explained,25-07-24,69000,2500,210,6:45,30000,2:30,4.1,170,Web Dev,External,$46 ,
StudyHub,Physics Tricks,28-07-24,75000,3000,240,7:10,32000,2:40,4.3,200,Education,Search,$51 ,
TechNow,Machine Learning Intro,31-07-24,115000,5700,480,11:00,63000,4:00,6.3,340,Programming,Suggested,$94 ,
LearnWithMe,Email Marketing Tips,03-08-24,62000,2300,180,5:50,27000,2:25,3.8,140,Marketing,External,$36 ,
CodeFlare,Node.js Tutorial,06-08-24,103000,4800,450,10:20,59000,3:50,6,330,Programming,Suggested,$88 ,
DevWorld,Responsive Web Design,09-08-24,68000,2600,200,6:40,29500,2:33,4,160,Web Dev,Search,$42 ,
StudyHub,Study Motivation,12-08-24,77000,3100,230,7:00,35000,2:45,4.4,210,Education,External,$54 ,
TechNow,Data Structures,15-08-24,93000,4000,340,9:30,47000,3:40,5.5,270,Programming,Search,$69 ,
LearnWithMe,Social Media Strategy,18-08-24,59000,2000,160,5:20,25000,2:10,3.6,130,Marketing,External,$34 ,
CodeFlare,Next.js Guide,21-08-24,99000,4300,370,10:10,51000,3:55,5.8,290,Programming,Suggested,$77 ,
DevWorld,Tailwind CSS Basics,24-08-24,72000,2750,215,6:30,31500,2:38,4.2,185,Web Dev,Search,$43 ,
StudyHub,Time Management Tips,27-08-24,76000,2900,225,7:05,33000,2:42,4.5,195,Education,Search,$47 ,
